"STOCKINDEX","STOCKNAME","TOTALPRICE","PRICEOFSTOCK","NOOFSTOCKS","PURCHASEDATE"
"Dow30","CAT","81838.08","81.92","999","Fri Oct 07 15:53:08 EDT 2016"
"Straits_Times_Index","S63","28.358849","2.3632374","12","Fri Oct 07 15:57:36 EDT 2016"
"Straits_Times_Index","A17U","21.727242","1.8106035","12","Fri Oct 07 16:13:59 EDT 2016"
"Dow30","HD","9901.43","128.59","77","Fri Oct 07 16:24:04 EDT 2016"
"Nifty50","INDUSINDBK","197.17212","17.924738","11","Fri Oct 07 16:25:09 EDT 2016"
"Dow30","CSCO","31.44","31.44","1","Fri Oct 07 17:03:56 EDT 2016"
"Nifty50","ABB","211.48102","17.623419","12","Fri Oct 07 12:36:05 EDT 2016"
"Dow30","AXP","790.80005","65.9","12","Fri Oct 07 12:37:28 EDT 2016"
"Dow30","CVX","2351.75","102.25","23","Fri Oct 07 12:50:55 EDT 2016"
"Dow30","AXP","2095.42","61.63","34","Fri Oct 07 13:27:12 EDT 2016"
"Straits_Times_Index","S63","29.318687","2.443224","12","Fri Oct 07 13:29:14 EDT 2016"
"Dow30","KO","2300.925","41.835","55","Fri Oct 07 14:56:57 EDT 2016"
"Nifty50","ZEEL","942.9819","7.7293596","122","Fri Oct 07 14:57:48 EDT 2016"
"Nifty50","GRASIM","4160.722","346.72684","12","Fri Oct 07 15:21:52 EDT 2016"
"Dow30","XOM","1047.48","87.29","12","Fri Oct 07 15:22:56 EDT 2016"
"Dow30","XOM","1999.1599","86.92","23","Fri Oct 07 15:23:13 EDT 2016"
"Straits_Times_Index","A17U","220.0065","1.803332","122","Fri Oct 07 15:25:47 EDT 2016"
"Straits_Times_Index","A17U","25.34845","1.8106035","14","Fri Oct 07 15:26:03 EDT 2016"
"Dow30","CAT","88.22","88.22","1","Mon Oct 10 22:33:01 EDT 2016"
"Dow30","AXP","61.9","61.9","1","Mon Oct 10 22:36:12 EDT 2016"
"Dow30","IBM","0","0","1","Fri Oct 07 14:07:07 EDT 2016"
"Nifty50","DRREDDY","46.13705","46.13705","1","Fri Oct 07 17:59:41 EDT 2016"
"Straits_Times_Index","A17U","9.053018","1.8106035","5","Fri Oct 07 18:16:58 EDT 2016"
"Dow30","CSCO","62.94","31.47","2","Fri Oct 07 18:17:44 EDT 2016"
"Nifty50","AXISBANK","4927.107","8.87767","555","Sun Oct 09 01:25:26 EDT 2016"
"Nifty50","TATAMTRDVR","31.49909","5.2498484","6","Sun Oct 09 01:44:45 EDT 2016"
"Nifty50","INDUSINDBK","146.48006","18.310007","8","Sun Oct 09 02:07:43 EDT 2016"
"Dow30","KO","0","0","1","Fri Oct 07 14:09:01 EDT 2016"
"Nifty50","DRREDDY","47.047752","47.047752","1","Fri Oct 07 17:58:16 EDT 2016"
